Hexes {
(29 1) SeaFiller
(29 0) SeaFiller
(29 -1) SeaFiller
(29 -2) BottomEdgeSeaFiller
(30 34) UpperEdgeNeutralFiller
(30 33) Neutral
(30 32) Neutral
(30 31) Neutral
(30 30) Neutral
(30 29) Neutral
(30 28) Neutral
(30 27) Land
(30 26) Land
(30 25) Land
(30 24) Land
(30 23) Land
(30 22) Land
(30 21) Land
(30 20) Land
(30 19) Land
(30 18) Land
(30 17) Land
(30 16) Land
(30 15) Land
(30 14) Land
(30 13) Land
(30 12) Land
(30 11) Land
(30 10) Land
(30 9) Land
(30 8) Land
(30 7) Land
(30 6) Coast 2 1
(30 5) SeaFiller
(30 4) SeaFiller
(30 3) SeaFiller
(30 2) SeaFiller
(30 1) SeaFiller
(30 0) SeaFiller
(30 -1) SeaFiller
(31 33) Neutral
(31 32) Neutral
(31 31) Neutral
(31 30) Neutral
(31 29) Neutral
(31 28) Neutral
(31 27) Neutral
(31 26) Land
(31 25) Land
(31 24) Land
(31 23) Land
(31 22) Land
(31 21) Land
(31 20) Land
(31 19) Land
(31 18) Land
(31 17) Land
(31 16) Land
(31 15) Land
(31 14) Land
(31 13) Land
(31 12) Land
(31 11) Land
(31 10) Land
(31 9) Land
(31 8) Land
(31 7) Land
(31 6) Coast 2 1
(31 5) Sea 1 (30 6)
(31 4) SeaFiller
(31 3) SeaFiller
(31 2) SeaFiller
(31 1) SeaFiller
(31 0) SeaFiller
(31 -1) SeaFiller
(31 -2) BottomEdgeSeaFiller
(32 34) UpperEdgeNeutralFiller
(32 33) Neutral
(32 32) Neutral
(32 31) Neutral
(32 30) Neutral
(32 29) Neutral
(32 28) Neutral
(32 27) Neutral
(32 26) Land
(32 25) Land
(32 24) Land
(32 23) Land
(32 22) Land
(32 21) Land
(32 20) Land
(32 19) Land
(32 18) Land
(32 17) Land
(32 16) Land
(32 15) Land
(32 14) Land
(32 13) Land
(32 12) Land
(32 11) Land
(32 10) Land
(32 9) Land
(32 8) Port 8 1 La Rochelle
(32 7) Sea 1 (32 8)
(32 6) Sea 1 (31 6)
(32 5) SeaFiller
(32 4) SeaFiller
(32 3) SeaFiller
(32 2) SeaFiller
(32 1) SeaFiller
(32 0) SeaFiller
(32 -1) SeaFiller
(33 33) Neutral
(33 32) Neutral
(33 31) Neutral
(33 30) Neutral
(33 29) Neutral
(33 28) Neutral
(33 27) Mountain
(33 26) Neutral
(33 25) Mountain
(33 24) Land
(33 23) Land
(33 22) Land
(33 21) Land
(33 20) Land
(33 19) Land
(33 18) Land
(33 17) Land
(33 16) Land
(33 15) Land
(33 14) Land
(33 13) Land
(33 12) Land
(33 11) Land
(33 10) Land
(33 9) Land
(33 8) Land
(33 7) Land
(33 6) SeaFiller
(33 5) SeaFiller
(33 4) SeaFiller
(33 3) SeaFiller
(33 2) SeaFiller
(33 1) SeaFiller
(33 0) SeaFiller
(33 -1) SeaFiller
(33 -2) BottomEdgeSeaFiller
(34 34) UpperEdgeNeutralFiller
(34 33) Neutral
(34 32) Neutral
(34 31) Neutral
(34 30) Neutral
(34 29) Neutral
(34 28) Mountain
(34 27) Mountain
(34 26) Mountain
(34 25) Land
(34 24) Land
(34 23) Land
(34 22) Land
(34 21) Land
(34 20) City Vichy
(34 19) Land
(34 18) Land
(34 17) Land
(34 16) Land
(34 15) Land
(34 14) Land
(34 13) Land
(34 12) Land
(34 11) Land
(34 10) Land
(34 9) Land
(34 8) Coast 2 1
(34 7) Sea 1 (34 8)
(34 6) SeaFiller
(34 5) SeaFiller
(34 4) SeaFiller
(34 3) SeaFiller
(34 2) SeaFiller
(34 1) SeaFiller
(34 0) SeaFiller
(34 -1) SeaFiller
(35 33) Neutral
(35 32) Neutral
(35 31) Neutral
(35 30) Neutral
(35 29) Neutral
(35 28) Neutral
(35 27) Mountain
(35 26) Land
(35 25) Land
(35 24) Land
(35 23) Land
(35 22) City Lyon
(35 21) Land
(35 20) Mountain
(35 19) Impassible
(35 18) Land
(35 17) Land
(35 16) Land
(35 15) Land
(35 14) Land
(35 13) Land
(35 12) Land
(35 11) Land
(35 10) Land
(35 9) Land
(35 8) Coast 2 1
(35 7) Sea 1 (35 8)
(35 6) SeaFiller
(35 5) SeaFiller
(35 4) SeaFiller
(35 3) SeaFiller
(35 2) SeaFiller
(35 1) SeaFiller
(35 0) SeaFiller
(35 -1) SeaFiller
(35 -2) BottomEdgeSeaFiller
(36 34) UpperEdgeMountainFiller
(36 33) MountainFiller
(36 32) MountainFiller
(36 31) MountainFiller
(36 30) MountainFiller
(36 29) Impassible
(36 28) Mountain
(36 27) Mountain
(36 26) Land
(36 25) Land
(36 24) Land
(36 23) Land
(36 22) Land
(36 21) Mountain
(36 20) Impassible
(36 19) Land
(36 18) Land
(36 17) Land
(36 16) Land
(36 15) Land
(36 14) Land
(36 13) Land
(36 12) Land
(36 11) Land
(36 10) Land
(36 9) Land
(36 8) SeaFiller
(36 7) SeaFiller
(36 6) SeaFiller
(36 5) SeaFiller
(36 4) SeaFiller
(36 3) SeaFiller
(36 2) SeaFiller
(36 1) SeaFiller
(36 0) SeaFiller
(36 -1) SeaFiller
(37 33) MountainFiller
(37 32) MountainFiller
(37 31) MountainFiller
(37 30) MountainFiller
(37 29) MountainFiller
(37 28) Impassible
(37 27) Mountain
(37 26) Land
(37 25) Land
(37 24) Land
(37 23) Land
(37 22) Land
(37 21) Mountain
(37 20) Impassible
(37 19) Land
(37 18) Land
(37 17) Land
(37 16) Land
(37 15) Land
(37 14) Land
(37 13) Land
(37 12) Land
(37 11) Land
(37 10) Land
(37 9) Land
(37 8) Sea 1 (38 8)
(37 7) Land
(37 6) SeaFiller
(37 5) SeaFiller
(37 4) SeaFiller
(37 3) SeaFiller
(37 2) SeaFiller
(37 1) SeaFiller
(37 0) SeaFiller
(37 -1) SeaFiller
(37 -2) BottomEdgeSeaFiller
(38 34) UpperEdgeMountainFiller
(38 33) MountainFiller
(38 32) MountainFiller
(38 31) MountainFiller
(38 30) MountainFiller
(38 29) Impassible
(38 28) Mountain
(38 27) Mountain
(38 26) Land
(38 25) City Grenoble
(38 24) Land
(38 23) Land
(38 22) Land
(38 21) Impassible
(38 20) Mountain
(38 19) Land
(38 18) Land
(38 17) Land
(38 16) Land
(38 15) Land
(38 14) Land
(38 13) Land
(38 12) Land
(38 11) Land
(38 10) Land
(38 9) Land
(38 8) InlandPort 10 1 Bordeaux
(38 7) Land
(38 6) SeaFiller
(38 5) SeaFiller
(38 4) SeaFiller
(38 3) SeaFiller
(38 2) SeaFiller
(38 1) SeaFiller
(38 0) SeaFiller
(38 -1) SeaFiller
(39 33) MountainFiller
(39 32) MountainFiller
(39 31) MountainFiller
(39 30) MountainFiller
(39 29) Impassible
(39 28) Mountain
(39 27) City Biancon
(39 26) Mountain
(39 25) Mountain
(39 24) Land
(39 23) City Valence
(39 22) Land
(39 21) Mountain
(39 20) Impassible
(39 19) Mountain
(39 18) Land
(39 17) Land
(39 16) Land
(39 15) Land
(39 14) Land
(39 13) Land
(39 12) Land
(39 11) Land
(39 10) Land
(39 9) Land
(39 8) Land
(39 7) Land
(39 6) SeaFiller
(39 5) SeaFiller
(39 4) SeaFiller
(39 3) SeaFiller
(39 2) SeaFiller
(39 1) SeaFiller
(39 0) SeaFiller
(39 -1) SeaFiller
(39 -2) BottomEdgeSeaFiller
(40 34) UpperEdgeMountainFiller
(40 33) MountainFiller
(40 32) MountainFiller
(40 31) MountainFiller
(40 30) MountainFiller
(40 29) Impassible
(40 28) Mountain
(40 27) Mountain
(40 26) Mountain
(40 25) Land
(40 24) City Livron
(40 23) Land
(40 22) Land
(40 21) Mountain
(40 20) Impassible
(40 19) Mountain
(40 18) Land
(40 17) Land
(40 16) Land
(40 15) Land
(40 14) Land
(40 13) Land
(40 12) Land
(40 11) Land
(40 10) Land
(40 9) Land
(40 8) Land
(40 7) Land
(40 6) SeaFiller
(40 5) SeaFiller
(40 4) SeaFiller
(40 3) SeaFiller
(40 2) SeaFiller
(40 1) SeaFiller
(40 0) SeaFiller
(40 -1) SeaFiller
(41 33) MountainFiller
(41 32) MountainFiller
(41 31) MountainFiller
(41 30) MountainFiller
(41 29) Impassible
(41 28) Mountain
(41 27) Mountain
(41 26) Mountain
(41 25) Mountain
(41 24) Mountain
(41 23) City Montelima
(41 22) Land
(41 21) Mountain
(41 20) Mountain
(41 19) Impassible
(41 18) Mountain
(41 17) Land
(41 16) Land
(41 15) Land
(41 14) Land
(41 13) Land
(41 12) Land
(41 11) Land
(41 10) Land
(41 9) Land
(41 8) Land
(41 7) Land
(41 6) SeaFiller
(41 5) SeaFiller
(41 4) SeaFiller
(41 3) SeaFiller
(41 2) SeaFiller
(41 1) SeaFiller
(41 0) SeaFiller
(41 -1) SeaFiller
(41 -2) BottomEdgeSeaFiller
(42 34) UpperEdgeMountainFiller
(42 33) MountainFiller
(42 32) MountainFiller
(42 31) Impassible
(42 30) Impassible
(42 29) Mountain
(42 28) Mountain
(42 27) Mountain
(42 26) Mountain
(42 25) Mountain
(42 24) Land
(42 23) Land
(42 22) Land
(42 21) Mountain
(42 20) Mountain
(42 19) Impassible
(42 18) Mountain
(42 17) Land
(42 16) Land
(42 15) Land
(42 14) Land
(42 13) Land
(42 12) Land
(42 11) Land
(42 10) Land
(42 9) Land
(42 8) Land
(42 7) Land
(42 6) SeaFiller
(42 5) SeaFiller
(42 4) SeaFiller
(42 3) SeaFiller
(42 2) SeaFiller
(42 1) SeaFiller
(42 0) SeaFiller
(42 -1) SeaFiller
(43 33) MountainFiller
(43 32) MountainFiller
(43 31) Impassible
(43 30) Coast 2 0
(43 29) Mountain
(43 28) Mountain
(43 27) Mountain
(43 26) Mountain
(43 25) Land
(43 24) Land
(43 23) Land
(43 22) Land
(43 21) Mountain
(43 20) Mountain
(43 19) Mountain
(43 18) Impassible
(43 17) Mountain
(43 16) Land
(43 15) Land
(43 14) Land
(43 13) Land
(43 12) Land
(43 11) Land
(43 10) Land
(43 9) Land
(43 8) Land
(43 7) Land
(43 6) Land
(43 5) SeaFiller
(43 4) SeaFiller
(43 3) SeaFiller
(43 2) SeaFiller
(43 1) SeaFiller
(43 0) SeaFiller
(43 -1) SeaFiller
(43 -2) BottomEdgeSeaFiller
(44 34) UpperEdgeSeaFiller
(44 33) SeaFiller
(44 32) SeaFiller
(44 31) Sea 0 (43 30)
(44 30) Port 3 0 Nice
(44 29) Coast 2 0
(44 28) Land
(44 27) Mountain
(44 26) Land
(44 25) Land
(44 24) Land
(44 23) Land
(44 22) Land
(44 21) Mountain
(44 20) Land
(44 19) Land
(44 18) Impassible
(44 17) Mountain
(44 16) Land
(44 15) Land
(44 14) City Toulouse
(44 13) Land
(44 12) Land
(44 11) Land
(44 10) Land
(44 9) Land
(44 8) Land
(44 7) Land
(44 6) Land
(44 5) SeaFiller
(44 4) SeaFiller
(44 3) SeaFiller
(44 2) SeaFiller
(44 1) SeaFiller
(44 0) SeaFiller
(44 -1) SeaFiller
(45 33) SeaFiller
(45 32) SeaFiller
(45 31) SeaFiller
(45 30) Sea 0 (44 30)
(45 29) Sea 0 (44 29)
(45 28) Port 2 0 Cannes
(45 27) Land
(45 26) Land
(45 25) Land
(45 24) Coast 2 0
(45 23) Coast 2 0
(45 22) Land
(45 21) Mountain
(45 20) Mountain
(45 19) Port 2 0 Sete
(45 18) Land
(45 17) Impassible
(45 16) Mountain
(45 15) Land
(45 14) Land
(45 13) Land
(45 12) Land
(45 11) Land
(45 10) Land
(45 9) Land
(45 8) Land
(45 7) Land
(45 6) Land
(45 5) Neutral
(45 4) Neutral
(45 3) Neutral
(45 2) Neutral
(45 1) Neutral
(45 0) Neutral
(45 -1) Neutral
(45 -2) BottomEdgeNeutralFiller
(46 34) UpperEdgeSeaFiller
(46 33) SeaFiller
(46 32) SeaFiller
(46 31) SeaFiller
(46 30) SeaFiller
(46 29) Sea 0 (45 28)
(46 28) Coast 2 0
(46 27) Port 5 0 Toulon
(46 26) Coast 2 0
(46 25) Port 25 0 Marseilles
(46 24) Sea 0 (45 24)
(46 23) Sea 0 (45 23)
(46 22) SeaFiller
(46 21) SeaFiller
(46 20) Sea 0 (45 19)
(46 19) SeaFiller
(46 18) Land
(46 17) Impassible
(46 16) Mountain
(46 15) Land
(46 14) Land
(46 13) Land
(46 12) Land
(46 11) Land
(46 10) Land
(46 9) Land
(46 8) Land
(46 7) Land
(46 6) Neutral
(46 5) Neutral
(46 4) Neutral
(46 3) Neutral
(46 2) Neutral
(46 1) Neutral
(46 0) Neutral
(46 -1) Neutral
(47 33) SeaFiller
(47 32) SeaFiller
(47 31) SeaFiller
(47 30) SeaFiller
(47 29) SeaFiller
(47 28) Sea 0 (46 28)
(47 27) Sea 0 (46 27)
(47 26) SeaFiller
(47 25) Sea 0 (46 26)
(47 24) Sea 0 (46 25)
(47 23) SeaFiller
(47 22) SeaFiller
(47 21) SeaFiller
(47 20) SeaFiller
(47 19) SeaFiller
(47 18) SeaFiller
(47 17) Land
(47 16) Land
(47 15) Land
(47 14) Land
(47 13) Land
(47 12) Land
(47 11) Land
(47 10) Land
(47 9) Land
(47 8) Land
(47 7) Land
(47 6) Neutral
(47 5) Neutral
(47 4) Neutral
(47 3) Neutral
(47 2) Neutral
(47 1) Neutral
(47 0) Neutral
(47 -1) Neutral
(47 -2) BottomEdgeNeutralFiller
(48 34) UpperRightCornerFiller
(48 33) RightEdgeSeaFiller
(48 32) RightEdgeSeaFiller
(48 31) RightEdgeSeaFiller
(48 30) RightEdgeSeaFiller
(48 29) RightEdgeSeaFiller
(48 28) RightEdgeSeaFiller
(48 27) RightEdgeSeaFiller
(48 26) RightEdgeSeaFiller
(48 25) RightEdgeSeaFiller
(48 24) RightEdgeSeaFiller
(48 23) RightEdgeSeaFiller
(48 22) RightEdgeSeaFiller
(48 21) RightEdgeSeaFiller
(48 20) RightEdgeSeaFiller
(48 19) RightEdgeSeaFiller
(48 18) RightEdgeSeaFiller
(48 17) RightEdgeLandFiller
(48 16) RightEdgeLandFiller
(48 15) RightEdgeLandFiller
(48 14) RightEdgeLandFiller
(48 13) RightEdgeLandFiller
(48 12) RightEdgeLandFiller
(48 11) RightEdgeLandFiller
(48 10) RightEdgeLandFiller
(48 9) RightEdgeLandFiller
(48 8) RightEdgeLandFiller
(48 7) RightEdgeNeutralFiller
(48 6) RightEdgeNeutralFiller
(48 5) RightEdgeNeutralFiller
(48 4) RightEdgeNeutralFiller
(48 3) RightEdgeNeutralFiller
(48 2) RightEdgeNeutralFiller
(48 1) RightEdgeNeutralFiller
(48 0) RightEdgeNeutralFiller
(48 -1) RightEdgeNeutralFiller
}
River Vire {
(19 8) (19 9)
(19 8) (20 9)
(20 9) (20 8)
(20 9) (21 8)
}
River Orne {
(19 10) (20 11)
(20 11) (20 10)
(20 10) (21 10)
(21 10) (21 9)
(21 10) (22 10)
(21 10) (22 11)
(22 11) (21 11)
}
River Eure {
(19 13) (20 14)
(20 14) (20 13)
(20 14) (21 13)
(21 13) (21 14)
(21 14) (22 14)
(22 14) (22 15)
(22 15) (23 14)
(23 14) (23 15)
(23 14) (24 15)
(23 14) (24 14)
}
River Seine {
(18 12) (19 12)
(19 12) (18 13)
(18 13) (19 13)
(19 13) (18 14)
(19 13) (19 14)
(19 14) (20 14)
(20 14) (20 15)
(20 15) (21 14)
(20 15) (21 15)
(21 15) (20 16)
(21 15) (21 16)
(21 16) (22 16)
(21 16) (22 17)
(22 17) (21 17)
(22 17) (22 18)
(22 18) (23 17)
(23 17) (23 18)
(23 18) (24 18)
(23 18) (24 19)
(24 19) (23 19)
(23 19) (24 20)
(24 20) (23 20)
(24 20) (24 21)
(24 21) (25 20)
(24 21) (25 21)
(25 21) (24 22)
(25 21) (25 22)
(25 22) (26 22)
(26 22) (26 23)
(26 23) (27 22)
}
River Oise {
(21 17) (21 16)
(21 17) (20 17)
(20 17) (20 18)
(20 18) (19 17)
(19 17) (19 18)
(19 18) (18 18)
(19 18) (18 19)
(18 19) (19 19)
(18 19) (18 20)
(18 20) (17 19)
(18 20) (17 20)
(17 20) (18 21)
(18 21) (17 21)
}
River Aisne {
(19 18) (20 18)
(19 18) (20 19)
(20 19) (19 19)
(19 19) (20 20)
(20 20) (19 20)
(19 20) (20 21)
(19 20) (19 21)
(19 21) (18 21)
(19 21) (18 22)
(18 22) (19 22)
(19 22) (18 23)
(19 22) (19 23)
(19 23) (20 23)
(20 23) (20 24)
(20 23) (21 23)
(21 23) (21 22)
(21 23) (22 23)
}
River Marne {
(21 17) (22 18)
(22 18) (21 18)
(21 18) (22 19)
(22 19) (21 19)
(21 19) (22 20)
(21 19) (21 20)
(21 20) (20 20)
(21 20) (20 21)
(20 21) (21 21)
(21 21) (20 22)
(21 21) (21 22)
(21 22) (22 22)
(22 22) (22 23)
(22 23) (23 22)
(23 22) (23 23)
(23 23) (22 23)
(23 23) (22 24)
(23 23) (23 24)
(23 23) (24 23)
(24 23) (24 24)
}
River Somme {
(15 15) (16 15)
(16 15) (16 16)
(16 16) (17 15)
(16 16) (17 16)
(17 16) (16 17)
(17 16) (17 17)
(17 17) (18 17)
(17 17) (18 18)
(18 18) (17 18)
(17 18) (18 19)
}
River Scheldt {
(11 20) (11 19)
(11 20) (12 20)
(11 20) (12 21)
(11 20) (11 21)
(11 20) (10 21)
(10 21) (11 21)
(10 21) (10 22)
(10 21) (9 21)
(9 21) (9 22)
(9 21) (8 22)
(9 22) (10 22)
(10 22) (11 21)
(11 21) (12 21)
(11 21) (12 22)
(11 21) (11 22)
(10 22) (11 22)
(10 22) (10 23)
(9 21) (10 22)
(12 22) (11 22)
(12 22) (12 23)
(12 22) (13 22)
(12 22) (13 21)
(13 22) (12 23)
(12 23) (13 23)
(13 23) (12 24)
(12 24) (13 24)
(13 21) (13 22)
(13 21) (14 22)
(14 22) (14 21)
(14 21) (15 21)
(15 21) (15 20)
(13 21) (12 21)
(12 21) (13 20)
(13 20) (12 20)
(13 20) (13 19)
(13 19) (14 20)
(13 19) (14 19)
(14 19) (13 18)
(13 18) (14 18)
(14 18) (14 17)
(14 17) (15 17)
(14 18) (13 17)
(9 22) (8 22)
(9 22) (8 23)
(8 23) (9 23)
(9 23) (8 24)
(8 24) (9 24)
(9 24) (8 25)
(8 25) (9 25)
(9 25) (8 26)
(8 26) (9 26)
}
River Maas {
(9 22) (10 23)
(10 23) (9 23)
(9 23) (10 24)
(10 24) (9 24)
(9 24) (10 25)
(10 25) (9 25)
(9 25) (10 26)
(10 26) (9 26)
(10 26) (10 27)
(10 26) (11 26)
(11 26) (11 25)
(11 26) (12 26)
(12 26) (12 27)
(12 27) (13 26)
(13 26) (13 27)
(13 27) (14 27)
(14 27) (14 28)
(14 27) (15 27)
}
River Meuse {
(11 25) (12 26)
(12 26) (12 25)
(12 25) (13 25)
(13 25) (13 24)
(13 24) (14 25)
(14 25) (14 24)
(14 24) (15 24)
(14 24) (15 23)
(15 23) (14 23)
(15 23) (15 22)
(15 23) (16 23)
(16 23) (16 24)
(16 23) (17 23)
(17 23) (17 22)
(17 23) (18 23)
(18 23) (18 24)
(18 24) (19 23)
(19 23) (19 24)
(19 24) (20 24)
(20 24) (20 25)
(20 25) (21 24)
(21 24) (21 25)
(21 25) (22 25)
(22 25) (22 26)
(22 25) (23 25)
(23 25) (23 24)
(23 25) (24 25)
(24 25) (24 26)
(24 25) (25 25)
(25 25) (25 24)
(25 25) (26 25)
}
River Moselle {
(18 27) (19 27)
(19 27) (19 26)
(19 26) (20 27)
(20 27) (20 26)
(20 26) (21 26)
(21 26) (21 25)
(21 26) (22 26)
(22 26) (22 27)
(22 26) (23 26)
(23 26) (23 25)
(23 26) (24 26)
(24 26) (24 27)
(24 27) (25 26)
}
River Weser {
(2 32) (2 31)
(2 32) (3 31)
(3 31) (3 32)
(3 32) (4 32)
(4 32) (4 33)
(4 33) (5 32)
(5 32) (5 33)
(5 32) (6 33)
(6 33) (6 32)
(6 33) (7 32)
}
River Ruhr {
(10 28) (11 28)
(11 28) (10 29)
(10 29) (11 29)
(11 29) (10 30)
(10 30) (11 30)
(11 30) (10 31)
(10 31) (11 31)
(11 31) (10 32)
(10 32) (11 32)
(11 32) (10 33)
(11 32) (11 33)
(11 32) (12 33)
}
River Ree {
(16 32) (17 32)
(17 32) (16 33)
(16 33) (17 33)
}
River Saar {
(15 29) (16 30)
(16 30) (16 29)
(16 29) (17 29)
(16 29) (17 28)
(17 28) (16 28)
(17 28) (17 27)
(17 27) (18 28)
(18 28) (18 27)
(18 28) (19 27)
(19 27) (19 28)
(19 28) (20 28)
(20 28) (20 29)
(20 28) (21 28)
(21 28) (21 27)
}
River Rhine {
(5 26) (6 26)
(6 26) (6 27)
(6 26) (7 26)
(7 26) (7 25)
(7 26) (8 26)
(8 26) (8 27)
(8 27) (9 26)
(9 26) (9 27)
(9 27) (10 27)
(10 27) (10 28)
(10 28) (11 27)
(11 27) (11 28)
(11 28) (12 28)
(12 28) (12 29)
(12 29) (13 28)
(13 28) (13 29)
(13 28) (14 29)
(14 29) (14 28)
(14 29) (15 28)
(14 29) (15 29)
(15 29) (14 30)
(15 29) (15 30)
(15 30) (16 30)
(16 30) (16 31)
(16 31) (17 30)
(16 31) (17 31)
(17 31) (16 32)
(17 31) (17 32)
(17 31) (18 32)
(18 32) (18 31)
(18 32) (19 31)
(19 31) (19 32)
(19 32) (20 32)
(20 32) (20 33)
(20 32) (21 32)
(21 32) (21 31)
(21 31) (22 32)
(22 32) (22 31)
(22 31) (23 31)
(23 31) (23 30)
(23 30) (24 31)
(24 30) (24 31)
(24 30) (25 30)
(25 30) (25 29)
(25 30) (26 30)
(26 30) (26 31)
(26 30) (27 30)
(27 30) (27 29)
}
River Loire {
(27 5) (28 6)
(28 6) (27 6)
(27 6) (28 7)
(28 7) (27 7)
(27 7) (28 8)
(28 8) (27 8)
(27 8) (28 9)
(28 9) (27 9)
(27 9) (28 10)
(28 10) (27 10)
(28 10) (28 11)
(28 11) (29 10)
(28 11) (29 11)
(28 11) (28 12)
(28 12) (27 11)
(28 12) (27 12)
(27 12) (28 13)
(28 13) (27 13)
(27 13) (28 14)
(27 13) (27 14)
(27 14) (26 14)
(27 14) (26 15)
(26 15) (27 15)
(26 15) (26 16)
(26 16) (25 15)
(26 16) (25 16)
(26 16) (26 17)
(26 17) (27 16)
(26 17) (27 17)
(27 17) (26 18)
(27 17) (27 18)
(27 18) (28 18)
(28 18) (28 19)
(28 19) (29 18)
(29 18) (29 19)
(29 19) (30 19)
(30 19) (29 18)
(30 19) (30 18)
(30 19) (30 20)
(30 20) (31 19)
(31 19) (31 20)
(31 20) (32 20)
(32 20) (32 21)
(32 21) (33 20)
(33 20) (33 21)
(33 21) (34 21)
(34 21) (34 22)
(34 21) (35 21)
(35 21) (35 20)
(30 19) (31 18)
(31 18) (31 19)
(31 19) (32 19)
(32 19) (32 20)
(32 19) (33 19)
(34 19) (33 18)
(33 18) (34 18)
(33 18) (33 19)
(34 18) (33 17)
(34 18) (34 17)
(34 17) (35 17)
(33 19) (34 19)
(34 19) (34 20)
(34 19) (35 19)
(35 19) (35 18)
(35 18) (36 19)
(36 19) (36 18)
(36 19) (37 18)
(37 18) (37 19)
(37 19) (38 19)
(38 19) (38 20)
(38 20) (39 19)
(39 19) (39 20)
}
River Gironde {
(38 9) (37 9)
(38 9) (38 10)
(38 10) (39 9)
(38 10) (39 10)
(39 10) (38 11)
(38 11) (39 11)
(39 11) (38 12)
(38 12) (39 12)
(39 12) (38 13)
(38 13) (39 13)
(39 13) (38 14)
(38 14) (39 14)
(39 14) (38 15)
(38 15) (39 15)
(39 15) (38 16)
(38 16) (39 16)
(39 16) (38 17)
}
River Garonne {
(38 8) (38 9)
(38 9) (39 8)
(39 8) (39 9)
(39 9) (40 9)
(39 9) (40 10)
(40 10) (39 10)
(40 10) (40 11)
(40 11) (41 10)
(41 10) (41 11)
(41 11) (42 11)
(41 11) (42 12)
(42 12) (41 12)
(42 12) (42 13)
(42 13) (41 12)
(42 13) (41 13)
(42 13) (42 14)
(42 14) (43 13)
(43 13) (43 14)
(43 14) (44 14)
(43 14) (44 15)
(44 15) (43 15)
(44 15) (44 16)
(44 16) (45 15)
(44 16) (45 16)
(42 13) (43 12)
(43 12) (43 13)
(43 13) (44 13)
(44 13) (44 14)
(44 13) (45 13)
(45 13) (45 12)
(45 12) (46 13)
(46 13) (46 12)
(46 12) (47 12)
(46 12) (47 11)
}
River Saone {
(28 26) (28 27)
(28 26) (29 26)
(28 26) (29 25)
(29 25) (28 25)
(28 25) (29 24)
(29 24) (28 24)
(29 24) (29 23)
(29 23) (30 24)
(30 24) (30 23)
(30 23) (31 23)
(31 23) (31 22)
(31 23) (32 23)
(32 23) (32 24)
(32 23) (33 23)
(33 23) (33 22)
(33 23) (34 23)
(34 23) (34 24)
(34 23) (35 23)
(35 23) (35 22)
(35 23) (34 24)
(34 24) (35 24)
(35 24) (34 25)
(35 24) (35 25)
(35 25) (36 25)
(35 25) (36 26)
(35 25) (35 26)
(35 25) (34 26)
(34 26) (34 25)
(35 23) (36 23)
(36 23) (36 24)
(36 23) (37 23)
(37 23) (37 22)
(37 23) (38 23)
(38 23) (38 24)
(38 23) (39 23)
(39 23) (39 22)
(39 23) (40 23)
(40 23) (40 24)
(40 23) (41 23)
(41 23) (41 22)
(41 22) (42 23)
(42 23) (42 22)
(42 23) (43 22)
(43 22) (43 23)
(43 22) (44 23)
(44 23) (44 22)
(44 23) (45 22)
(45 22) (45 23)
(45 22) (45 21)
(44 22) (45 22)
}
River Durance {
(44 23) (43 23)
(43 23) (44 24)
(44 24) (43 24)
(44 24) (44 25)
(44 25) (45 24)
(44 25) (45 25)
(44 25) (44 26)
(44 26) (43 25)
(43 25) (43 26)
(43 26) (42 26)
(42 26) (42 27)
(42 26) (41 26)
(41 26) (41 25)
(41 26) (40 26)
(41 26) (40 27)
(40 27) (41 27)
(40 27) (40 28)
(40 28) (39 27)
}
River Var {
(44 30) (44 29)
(44 29) (43 29)
(43 29) (43 28)
(43 28) (42 29)
(43 28) (42 28)
(42 28) (43 27)
(42 28) (42 27)
}
InlandPort (3 32) Bremen {
(1 30)
(1 32)
(2 31)
(2 32)
(2 33)
(3 31)
(3 33)
(4 32)
(4 33)
}
InlandPort (7 23) Amsterdam {
(4 25)
(5 23)
(6 23)
(7 22)
(7 24)
(8 23)
(8 24)
}
InlandPort (8 23) Rotterdam {
(7 22)
(7 23)
(7 24)
(8 22)
(8 23)
(9 21)
(9 22)
(9 23)
(10 22)
(10 23)
}
InlandPort (12 22) Antwerp {
(10 21)
(10 22)
(11 20)
(11 21)
(11 22)
(12 21)
(12 23)
}
InlandPort (19 14) Rouen {
(18 13)
(18 14)
(18 15)
(19 12)
(19 13)
(19 15)
(20 14)
(20 15)
}
InlandPort (28 7) Nantes {
(27 5)
(27 6)
(27 7)
(28 6)
(28 8)
(29 6)
(29 7)
}
InlandPort (38 8) Bordeaux {
(35 8)
(36 9)
(37 7)
(37 9)
(38 7)
(38 9)
(39 7)
(39 8)
}
AlliedVictory {
(1 29)
(1 30)
(1 32)
(1 33)
(2 29)
(2 30)
(2 31)
(2 32)
(2 33)
(3 25)
(3 26)
(3 27)
(3 28)
(3 29)
(3 30)
(3 31)
(3 32)
(3 33)
(4 25)
(4 26)
(4 27)
(4 28)
(4 29)
(4 30)
(4 31)
(4 32)
(4 33)
(5 26)
(5 27)
(5 28)
(5 29)
(5 30)
(5 31)
(5 32)
(5 33)
(6 27)
(6 28)
(6 29)
(6 30)
(6 31)
(6 32)
(6 33)
(7 26)
(7 27)
(7 28)
(7 29)
(7 30)
(7 31)
(7 32)
(7 33)
(8 27)
(8 28)
(8 29)
(8 30)
(8 31)
(8 32)
(8 33)
(9 27)
(9 28)
