// This file has a line for each hex that will be on the board.  The format is
//
// (x-coor y-coor) hexType [City Name] [Supply Capacity] [Invasion Index] [Port Name]
//         int hexXPositionWord = 1;
//         int hexYPositionWord = 2;
//         int hexTypeWord = 4;
//         int hexCityNameWord = 5;
//         int hexSupplyCapacity = 5;
//         int hexInvasionIndex = 6;
//         int hexPortNameWord = 7;
//
// Note that the position of the City name and the name of Port name is different because the name
// needs to be the last field since the name could contain multiple words
//
// There are 14 different type of hexes on the board playing area:
// 	City
// 	Fortress
// 	Port
// 	FortifiedPort
// 	InlandPort
// 	InlandFortifiedPort
// 	Coast
// 	Mountain
// 	Impassible
// 	FortifiedReplacement
// 	Replacement
// 	Fortified
// 	Bridge
// 	Sea
//
// There are also 14 filler hexes that are just used to make the board look square
// 	SeaFiller
// 	LeftEdgeSeaFiller
// 	Neutral
// 	BottomEdgeNeutralFiller
// 	RightEdgeNeutralFiller
// 	RightEdgeLandFiller
// 	RightEdgeSeaFiller
// 	UpperRightCornerFiller
// 	UpperEdgeSeaFiller
// 	UpperEdgeMountainFiller
// 	UpperLeftCornerFiller
// 	UpperEdgeNeutralFiller
// 	UpperEdgeLandFiller
// 	MountainFiller
//
//
Hexes {
(26 22) Land
(26 21) Land
(26 20) Land
(26 19) Land
(26 18) Land
(26 17) Land
(26 16) Land
(26 15) Land
(26 14) Land
(26 13) Land
(26 12) Land
(26 11) Land
(26 10) Land
(26 9) Land
(26 8) Land
(26 7) Land
(26 6) Land
(26 5) Land
(26 4) SeaFiller
(26 3) SeaFiller
(26 2) SeaFiller
(26 1) SeaFiller
(26 0) SeaFiller
(26 -1) SeaFiller
(27 33) Neutral
(27 32) Neutral
(27 31) Fortified
(27 30) Fortified
(27 29) Land
(27 28) City Belfort
(27 27) Land
(27 26) City Vesoul
(27 25) Land
(27 24) Land
(27 23) Land
(27 22) Land
(27 21) Land
(27 20) Land
(27 19) Land
(27 18) Land
(27 17) Land
(27 16) Land
(27 15) Land
(27 14) Land
(27 13) Land
(27 12) Land
(27 11) Land
(27 10) Land
(27 9) Land
(27 8) Land
(27 7) Land
(27 6) Land
(27 5) FortifiedPort 8 1 St. Nazaire
(27 4) Sea 1 (27 5)
(27 3) SeaFiller
(27 2) SeaFiller
(27 1) SeaFiller
(27 0) SeaFiller
(27 -1) SeaFiller
(27 -2) BottomEdgeSeaFiller
(28 34) UpperEdgeNeutralFiller
(28 33) Neutral
(28 32) Neutral
(28 31) Neutral
(28 30) Neutral
(28 29) Neutral
(28 28) Land
(28 27) Land
(28 26) Land
(28 25) Land
(28 24) City Dijon
(28 23) Land
(28 22) Land
(28 21) Land
(28 20) Land
(28 19) Land
(28 18) Land
(28 17) Land
(28 16) Land
(28 15) Land
(28 14) Land
(28 13) City Tours
(28 12) Land
(28 11) Land
(28 10) Land
(28 9) Land
(28 8) Land
(28 7) InlandPort 3 1 Nantes
(28 6) Land
(28 5) Sea 1 (28 7)
(28 4) SeaFiller
(28 3) SeaFiller
(28 2) SeaFiller
(28 1) SeaFiller
(28 0) SeaFiller
(28 -1) SeaFiller
(29 33) Neutral
(29 32) Neutral
(29 31) Neutral
(29 30) Neutral
(29 29) Neutral
(29 28) Neutral
(29 27) Land
(29 26) City Besancon
(29 25) Land
(29 24) Land
(29 23) Land
(29 22) Land
(29 21) Land
(29 20) Land
(29 19) City Nevers
(29 18) Land
(29 17) Land
(29 16) Land
(29 15) Land
(29 14) Land
(29 13) Land
(29 12) Land
(29 11) Land
(29 10) Land
(29 9) Land
(29 8) Land
(29 7) Land
(29 6) Coast 2 1
(29 5) Sea 1 (29 6)
(29 4) SeaFiller
(29 3) SeaFiller
(29 2) SeaFiller
(29 1) SeaFiller
(29 0) SeaFiller
(29 -1) SeaFiller
(29 -2) BottomEdgeSeaFiller
(30 34) UpperEdgeNeutralFiller
(30 33) Neutral
(30 32) Neutral
(30 31) Neutral
(30 30) Neutral
(30 29) Neutral
(30 28) Neutral
(30 27) Land
(30 26) Land
(30 25) Land
(30 24) Land
(30 23) Land
(30 22) Land
(30 21) Land
(30 20) Land
(30 19) Land
(30 18) Land
(30 17) Land
(30 16) Land
(30 15) Land
(30 14) Land
(30 13) Land
(30 12) Land
(30 11) Land
(30 10) Land
(30 9) Land
(30 8) Land
(30 7) Land
(30 6) Coast 2 1
(30 5) SeaFiller
(30 4) SeaFiller
(30 3) SeaFiller
(30 2) SeaFiller
(30 1) SeaFiller
(30 0) SeaFiller
(30 -1) SeaFiller
(31 33) Neutral
(31 32) Neutral
(31 31) Neutral
(31 30) Neutral
(31 29) Neutral
(31 28) Neutral
(31 27) Neutral
(31 26) Land
(31 25) Land
(31 24) Land
(31 23) Land
(31 22) Land
(31 21) Land
(31 20) Land
(31 19) Land
(31 18) Land
(31 17) Land
(31 16) Land
(31 15) Land
(31 14) Land
(31 13) Land
(31 12) Land
(31 11) Land
(31 10) Land
(31 9) Land
(31 8) Land
(31 7) Land
(31 6) Coast 2 1
(31 5) Sea 1 (30 6)
(31 4) SeaFiller
(31 3) SeaFiller
(31 2) SeaFiller
(31 1) SeaFiller
(31 0) SeaFiller
(31 -1) SeaFiller
(31 -2) BottomEdgeSeaFiller
(32 34) UpperEdgeNeutralFiller
(32 33) Neutral
(32 32) Neutral
(32 31) Neutral
(32 30) Neutral
(32 29) Neutral
(32 28) Neutral
(32 27) Neutral
(32 26) Land
(32 25) Land
(32 24) Land
(32 23) Land
(32 22) Land
(32 21) Land
(32 20) Land
(32 19) Land
(32 18) Land
(32 17) Land
(32 16) Land
(32 15) Land
(32 14) Land
(32 13) Land
(32 12) Land
(32 11) Land
(32 10) Land
(32 9) Land
(32 8) Port 8 1 La Rochelle
(32 7) Sea 1 (32 8)
(32 6) Sea 1 (31 6)
(32 5) SeaFiller
(32 4) SeaFiller
(32 3) SeaFiller
(32 2) SeaFiller
(32 1) SeaFiller
(32 0) SeaFiller
(32 -1) SeaFiller
(33 33) Neutral
(33 32) Neutral
(33 31) Neutral
(33 30) Neutral
(33 29) Neutral
(33 28) Neutral
(33 27) Mountain
(33 26) Neutral
(33 25) Mountain
(33 24) Land
(33 23) Land
(33 22) Land
(33 21) Land
(33 20) Land
(33 19) Land
(33 18) Land
(33 17) Land
(33 16) Land
(33 15) Land
(33 14) Land
(33 13) Land
(33 12) Land
(33 11) Land
(33 10) Land
(33 9) Land
(33 8) Land
(33 7) Land
(33 6) SeaFiller
(33 5) SeaFiller
(33 4) SeaFiller
(33 3) SeaFiller
(33 2) SeaFiller
(33 1) SeaFiller
(33 0) SeaFiller
(33 -1) SeaFiller
(33 -2) BottomEdgeSeaFiller
(34 34) UpperEdgeNeutralFiller
(34 33) Neutral
(34 32) Neutral
(34 31) Neutral
(34 30) Neutral
(34 29) Neutral
(34 28) Mountain
(34 27) Mountain
(34 26) Mountain
(34 25) Land
(34 24) Land
(34 23) Land
(34 22) Land
(34 21) Land
(34 20) City Vichy
(34 19) Land
(34 18) Land
(34 17) Land
(34 16) Land
(34 15) Land
(34 14) Land
(34 13) Land
(34 12) Land
(34 11) Land
(34 10) Land
(34 9) Land
(34 8) Coast 2 1
(34 7) Sea 1 (34 8)
(34 6) SeaFiller
(34 5) SeaFiller
(34 4) SeaFiller
(34 3) SeaFiller
(34 2) SeaFiller
(34 1) SeaFiller
(34 0) SeaFiller
(34 -1) SeaFiller
(35 33) Neutral
(35 32) Neutral
(35 31) Neutral
(35 30) Neutral
(35 29) Neutral
(35 28) Neutral
(35 27) Mountain
(35 26) Land
(35 25) Land
(35 24) Land
(35 23) Land
(35 22) City Lyon
(35 21) Land
(35 20) Mountain
(35 19) Impassible
(35 18) Land
(35 17) Land
(35 16) Land
(35 15) Land
(35 14) Land
(35 13) Land
(35 12) Land
(35 11) Land
(35 10) Land
(35 9) Land
(35 8) Coast 2 1
(35 7) Sea 1 (35 8)
(35 6) SeaFiller
(35 5) SeaFiller
(35 4) SeaFiller
(35 3) SeaFiller
(35 2) SeaFiller
(35 1) SeaFiller
(35 0) SeaFiller
(35 -1) SeaFiller
(35 -2) BottomEdgeSeaFiller
(36 34) UpperEdgeMountainFiller
(36 33) MountainFiller
(36 32) MountainFiller
(36 31) MountainFiller
(36 30) MountainFiller
(36 29) Impassible
(36 28) Mountain
(36 27) Mountain
(36 26) Land
(36 25) Land
(36 24) Land
(36 23) Land
(36 22) Land
(36 21) Mountain
(36 20) Impassible
(36 19) Land
(36 18) Land
(36 17) Land
(36 16) Land
(36 15) Land
(36 14) Land
(36 13) Land
(36 12) Land
(36 11) Land
(36 10) Land
(36 9) Land
(36 8) SeaFiller
(36 7) SeaFiller
(36 6) SeaFiller
(36 5) SeaFiller
(36 4) SeaFiller
(36 3) SeaFiller
(36 2) SeaFiller
(36 1) SeaFiller
(36 0) SeaFiller
(36 -1) SeaFiller
(37 33) MountainFiller
(37 32) MountainFiller
(37 31) MountainFiller
(37 30) MountainFiller
(37 29) MountainFiller
(37 28) Impassible
(37 27) Mountain
(37 26) Land
(37 25) Land
(37 24) Land
(37 23) Land
(37 22) Land
(37 21) Mountain
(37 20) Impassible
(37 19) Land
(37 18) Land
(37 17) Land
(37 16) Land
(37 15) Land
(37 14) Land
(37 13) Land
(37 12) Land
(37 11) Land
(37 10) Land
(37 9) Land
(37 8) Sea 1 (38 8)
(37 7) Land
(37 6) SeaFiller
(37 5) SeaFiller
(37 4) SeaFiller
(37 3) SeaFiller
(37 2) SeaFiller
(37 1) SeaFiller
(37 0) SeaFiller
(37 -1) SeaFiller
(37 -2) BottomEdgeSeaFiller
(38 34) UpperEdgeMountainFiller
(38 33) MountainFiller
(38 32) MountainFiller
(38 31) MountainFiller
(38 30) MountainFiller
(38 29) Impassible
(38 28) Mountain
(38 27) Mountain
(38 26) Land
(38 25) City Grenoble
(38 24) Land
(38 23) Land
(38 22) Land
(38 21) Impassible
(38 20) Mountain
(38 19) Land
(38 18) Land
(38 17) Land
(38 16) Land
(38 15) Land
(38 14) Land
(38 13) Land
(38 12) Land
(38 11) Land
(38 10) Land
(38 9) Land
(38 8) InlandPort 10 1 Bordeaux
(38 7) Land
(38 6) SeaFiller
(38 5) SeaFiller
(38 4) SeaFiller
(38 3) SeaFiller
(38 2) SeaFiller
(38 1) SeaFiller
(38 0) SeaFiller
(38 -1) SeaFiller
(39 33) MountainFiller
(39 32) MountainFiller
(39 31) MountainFiller
(39 30) MountainFiller
(39 29) Impassible
(39 28) Mountain
(39 27) City Biancon
(39 26) Mountain
(39 25) Mountain
(39 24) Land
(39 23) City Valence
(39 22) Land
(39 21) Mountain
(39 20) Impassible
(39 19) Mountain
(39 18) Land
(39 17) Land
(39 16) Land
(39 15) Land
(39 14) Land
(39 13) Land
(39 12) Land
(39 11) Land
(39 10) Land
(39 9) Land
(39 8) Land
(39 7) Land
(39 6) SeaFiller
(39 5) SeaFiller
(39 4) SeaFiller
(39 3) SeaFiller
(39 2) SeaFiller
(39 1) SeaFiller
(39 0) SeaFiller
(39 -1) SeaFiller
(39 -2) BottomEdgeSeaFiller
(40 34) UpperEdgeMountainFiller
(40 33) MountainFiller
(40 32) MountainFiller
(40 31) MountainFiller
(40 30) MountainFiller
(40 29) Impassible
(40 28) Mountain
(40 27) Mountain
(40 26) Mountain
(40 25) Land
(40 24) City Livron
(40 23) Land
(40 22) Land
(40 21) Mountain
(40 20) Impassible
(40 19) Mountain
(40 18) Land
(40 17) Land
(40 16) Land
(40 15) Land
(40 14) Land
(40 13) Land
(40 12) Land
(40 11) Land
(40 10) Land
(40 9) Land
(40 8) Land
(40 7) Land
(40 6) SeaFiller
(40 5) SeaFiller
(40 4) SeaFiller
(40 3) SeaFiller
(40 2) SeaFiller
(40 1) SeaFiller
(40 0) SeaFiller
(40 -1) SeaFiller
(41 33) MountainFiller
(41 32) MountainFiller
(41 31) MountainFiller
(41 30) MountainFiller
(41 29) Impassible
(41 28) Mountain
(41 27) Mountain
(41 26) Mountain
(41 25) Mountain
(41 24) Mountain
(41 23) City Montelima
(41 22) Land
(41 21) Mountain
(41 20) Mountain
(41 19) Impassible
(41 18) Mountain
(41 17) Land
(41 16) Land
(41 15) Land
(41 14) Land
(41 13) Land
(41 12) Land
(41 11) Land
(41 10) Land
(41 9) Land
(41 8) Land
(41 7) Land
(41 6) SeaFiller
(41 5) SeaFiller
(41 4) SeaFiller
(41 3) SeaFiller
(41 2) SeaFiller
(41 1) SeaFiller
(41 0) SeaFiller
(41 -1) SeaFiller
(41 -2) BottomEdgeSeaFiller
(42 34) UpperEdgeMountainFiller
(42 33) MountainFiller
(42 32) MountainFiller
(42 31) Impassible
(42 30) Impassible
(42 29) Mountain
(42 28) Mountain
(42 27) Mountain
(42 26) Mountain
(42 25) Mountain
(42 24) Land
(42 23) Land
(42 22) Land
(42 21) Mountain
(42 20) Mountain
(42 19) Impassible
(42 18) Mountain
(42 17) Land
(42 16) Land
(42 15) Land
(42 14) Land
(42 13) Land
(42 12) Land
(42 11) Land
(42 10) Land
(42 9) Land
(42 8) Land
(42 7) Land
(42 6) SeaFiller
(42 5) SeaFiller
(42 4) SeaFiller
(42 3) SeaFiller
(42 2) SeaFiller
(42 1) SeaFiller
(42 0) SeaFiller
(42 -1) SeaFiller
(43 33) MountainFiller
(43 32) MountainFiller
(43 31) Impassible
(43 30) Coast 2 0
(43 29) Mountain
(43 28) Mountain
(43 27) Mountain
(43 26) Mountain
(43 25) Land
(43 24) Land
(43 23) Land
(43 22) Land
(43 21) Mountain
(43 20) Mountain
(43 19) Mountain
(43 18) Impassible
(43 17) Mountain
(43 16) Land
(43 15) Land
(43 14) Land
(43 13) Land
(43 12) Land
(43 11) Land
(43 10) Land
(43 9) Land
(43 8) Land
(43 7) Land
(43 6) Land
(43 5) SeaFiller
(43 4) SeaFiller
(43 3) SeaFiller
(43 2) SeaFiller
(43 1) SeaFiller
(43 0) SeaFiller
(43 -1) SeaFiller
(43 -2) BottomEdgeSeaFiller
(44 34) UpperEdgeSeaFiller
(44 33) SeaFiller
(44 32) SeaFiller
(44 31) Sea 0 (43 30)
(44 30) Port 3 0 Nice
(44 29) Coast 2 0
(44 28) Land
(44 27) Mountain
(44 26) Land
(44 25) Land
(44 24) Land
(44 23) Land
(44 22) Land
(44 21) Mountain
(44 20) Land
(44 19) Land
(44 18) Impassible
(44 17) Mountain
(44 16) Land
(44 15) Land
(44 14) City Toulouse
(44 13) Land
(44 12) Land
(44 11) Land
(44 10) Land
(44 9) Land
(44 8) Land
(44 7) Land
(44 6) Land
(44 5) SeaFiller
(44 4) SeaFiller
(44 3) SeaFiller
(44 2) SeaFiller
(44 1) SeaFiller
(44 0) SeaFiller
(44 -1) SeaFiller
(45 33) SeaFiller
(45 32) SeaFiller
(45 31) SeaFiller
(45 30) Sea 0 (44 30)
(45 29) Sea 0 (44 29)
(45 28) Port 2 0 Cannes
(45 27) Land
(45 26) Land
(45 25) Land
(45 24) Coast 2 0
(45 23) Coast 2 0
(45 22) Land
(45 21) Mountain
(45 20) Mountain
(45 19) Port 2 0 Sete
(45 18) Land
(45 17) Impassible
(45 16) Mountain
(45 15) Land
(45 14) Land
(45 13) Land
(45 12) Land
(45 11) Land
(45 10) Land
(45 9) Land
(45 8) Land
(45 7) Land
(45 6) Land
(45 5) Neutral
(45 4) Neutral
(45 3) Neutral
(45 2) Neutral
(45 1) Neutral
(45 0) Neutral
(45 -1) Neutral
(45 -2) BottomEdgeNeutralFiller
(46 34) UpperEdgeSeaFiller
(46 33) SeaFiller
(46 32) SeaFiller
(46 31) SeaFiller
(46 30) SeaFiller
(46 29) Sea 0 (45 28)
(46 28) Coast 2 0
(46 27) Port 5 0 Toulon
(46 26) Coast 2 0
(46 25) Port 25 0 Marseilles
(46 24) Sea 0 (45 24)
(46 23) Sea 0 (45 23)
(46 22) SeaFiller
(46 21) SeaFiller
(46 20) Sea 0 (45 19)
(46 19) SeaFiller
(46 18) Land
(46 17) Impassible
(46 16) Mountain
(46 15) Land
(46 14) Land
(46 13) Land
(46 12) Land
(46 11) Land
(46 10) Land
(46 9) Land
(46 8) Land
(46 7) Land
(46 6) Neutral
(46 5) Neutral
(46 4) Neutral
(46 3) Neutral
(46 2) Neutral
(46 1) Neutral
(46 0) Neutral
(46 -1) Neutral
(47 33) SeaFiller
(47 32) SeaFiller
(47 31) SeaFiller
(47 30) SeaFiller
(47 29) SeaFiller
(47 28) Sea 0 (46 28)
(47 27) Sea 0 (46 27)
(47 26) SeaFiller
(47 25) Sea 0 (46 26)
(47 24) Sea 0 (46 25)
(47 23) SeaFiller
(47 22) SeaFiller
(47 21) SeaFiller
(47 20) SeaFiller
(47 19) SeaFiller
(47 18) SeaFiller
(47 17) Land
(47 16) Land
(47 15) Land
(47 14) Land
(47 13) Land
(47 12) Land
(47 11) Land
(47 10) Land
(47 9) Land
(47 8) Land
(47 7) Land
(47 6) Neutral
(47 5) Neutral
(47 4) Neutral
(47 3) Neutral
(47 2) Neutral
(47 1) Neutral
(47 0) Neutral
(47 -1) Neutral
(47 -2) BottomEdgeNeutralFiller
(48 34) UpperRightCornerFiller
(48 33) RightEdgeSeaFiller
(48 32) RightEdgeSeaFiller
(48 31) RightEdgeSeaFiller
(48 30) RightEdgeSeaFiller
(48 29) RightEdgeSeaFiller
(48 28) RightEdgeSeaFiller
(48 27) RightEdgeSeaFiller
(48 26) RightEdgeSeaFiller
(48 25) RightEdgeSeaFiller
(48 24) RightEdgeSeaFiller
(48 23) RightEdgeSeaFiller
(48 22) RightEdgeSeaFiller
(48 21) RightEdgeSeaFiller
(48 20) RightEdgeSeaFiller
(48 19) RightEdgeSeaFiller
(48 18) RightEdgeSeaFiller
(48 17) RightEdgeLandFiller
(48 16) RightEdgeLandFiller
(48 15) RightEdgeLandFiller
(48 14) RightEdgeLandFiller
(48 13) RightEdgeLandFiller
(48 12) RightEdgeLandFiller
(48 11) RightEdgeLandFiller
(48 10) RightEdgeLandFiller
(48 9) RightEdgeLandFiller
(48 8) RightEdgeLandFiller
(48 7) RightEdgeNeutralFiller
(48 6) RightEdgeNeutralFiller
(48 5) RightEdgeNeutralFiller
(48 4) RightEdgeNeutralFiller
(48 3) RightEdgeNeutralFiller
(48 2) RightEdgeNeutralFiller
(48 1) RightEdgeNeutralFiller
(48 0) RightEdgeNeutralFiller
(48 -1) RightEdgeNeutralFiller
}
